2026-03-24 01:11:55 [INFO] __main__ — SOCKS5 запущен  127.0.0.1:1080  transports=2
2026-03-24 01:11:56 [INFO] __main__ — Авторизован [acc1], chatId=0 (self-chat)
2026-03-24 01:11:57 [INFO] __main__ — Авторизован [acc2], chatId=0 (self-chat)
2026-03-24 01:11:58 [INFO] __main__ — SOCKS5 → 81.19.72.34:443
2026-03-24 01:11:58 [DEBUG] __main__ — [transport:acc1] text-send  len=78  action=connect
2026-03-24 01:11:58 [DEBUG] __main__ — [transport:acc1] text-recv  action=ok  id=84ad2f70
2026-03-24 01:11:58 [DEBUG] __main__ — [84ad2f70] <- ok
2026-03-24 01:11:58 [INFO] __main__ — tunnel 81.19.72.34:443 [84ad2f70]  открыт за ~265 мс
2026-03-24 01:11:58 [DEBUG] __main__ — [84ad2f70] -> #1  517B  seq=0
2026-03-24 01:11:58 [DEBUG] __main__ — [transport:acc1] text-send  len=750  action=data
2026-03-24 01:11:59 [DEBUG] __main__ — [transport:acc2] text-recv  action=data  id=84ad2f70
2026-03-24 01:11:59 [DEBUG] __main__ — [84ad2f70] <- data #1  840B  seq=1
2026-03-24 01:12:00 [DEBUG] __main__ — [transport:acc1] file-recv  fileId=2979499900  action=data
2026-03-24 01:12:00 [DEBUG] __main__ — [84ad2f70] <- data #2  2900B  seq=0
2026-03-24 01:12:00 [DEBUG] __main__ — [84ad2f70] -> #2  93B  seq=1
2026-03-24 01:12:00 [DEBUG] __main__ — [transport:acc2] text-send  len=182  action=data
2026-03-24 01:12:00 [DEBUG] __main__ — [transport:acc1] text-recv  action=data  id=84ad2f70
2026-03-24 01:12:00 [DEBUG] __main__ — [84ad2f70] <- data #3  120B  seq=2
2026-03-24 01:12:00 [DEBUG] __main__ — [84ad2f70] -> #3  253B  seq=2
2026-03-24 01:12:00 [DEBUG] __main__ — [transport:acc1] text-send  len=398  action=data
2026-03-24 01:12:01 [DEBUG] __main__ — [transport:acc2] text-recv  action=data  id=84ad2f70
2026-03-24 01:12:01 [DEBUG] __main__ — [84ad2f70] <- data #4  38B  seq=3
2026-03-24 01:12:02 [DEBUG] __main__ — [transport:acc2] text-recv  action=data  id=84ad2f70
2026-03-24 01:12:02 [DEBUG] __main__ — [84ad2f70] <- data #5  2872B  seq=15
2026-03-24 01:12:02 [DEBUG] __main__ — [transport:acc2] text-recv  action=data  id=84ad2f70
2026-03-24 01:12:02 [DEBUG] __main__ — [84ad2f70] <- data #6  2424B  seq=53
2026-03-24 01:12:03 [DEBUG] __main__ — [transport:acc1] file-recv  fileId=2989936837  action=data
2026-03-24 01:12:03 [DEBUG] __main__ — [84ad2f70] <- data #7  2900B  seq=4
2026-03-24 01:12:03 [DEBUG] __main__ — [transport:acc2] file-recv  fileId=2991299263  action=data
2026-03-24 01:12:03 [DEBUG] __main__ — [84ad2f70] <- data #8  2900B  seq=5
2026-03-24 01:12:03 [DEBUG] __main__ — [transport:acc1] file-recv  fileId=2988069151  action=data
2026-03-24 01:12:03 [DEBUG] __main__ — [84ad2f70] <- data #9  2900B  seq=6
2026-03-24 01:12:04 [DEBUG] __main__ — [transport:acc2] file-recv  fileId=2988221519  action=data
2026-03-24 01:12:04 [DEBUG] __main__ — [84ad2f70] <- data #10  2884B  seq=7
2026-03-24 01:12:04 [DEBUG] __main__ — [transport:acc1] file-recv  fileId=2987024242  action=data
2026-03-24 01:12:04 [DEBUG] __main__ — [84ad2f70] <- data #11  2896B  seq=8
2026-03-24 01:12:04 [DEBUG] __main__ — [transport:acc2] file-recv  fileId=2975780027  action=data
2026-03-24 01:12:04 [DEBUG] __main__ — [84ad2f70] <- data #12  2900B  seq=9
2026-03-24 01:12:05 [DEBUG] __main__ — [transport:acc1] file-recv  fileId=2993123178  action=data
2026-03-24 01:12:05 [DEBUG] __main__ — [84ad2f70] <- data #13  2900B  seq=10
2026-03-24 01:12:05 [DEBUG] __main__ — [transport:acc2] file-recv  fileId=2979049512  action=data
2026-03-24 01:12:05 [DEBUG] __main__ — [84ad2f70] <- data #14  2900B  seq=11
2026-03-24 01:12:05 [DEBUG] __main__ — [transport:acc1] file-recv  fileId=2990930397  action=data
2026-03-24 01:12:05 [DEBUG] __main__ — [84ad2f70] <- data #15  2900B  seq=12
2026-03-24 01:12:06 [DEBUG] __main__ — [transport:acc2] file-recv  fileId=2978682548  action=data
2026-03-24 01:12:06 [DEBUG] __main__ — [84ad2f70] <- data #16  2900B  seq=13
2026-03-24 01:12:06 [DEBUG] __main__ — [transport:acc1] file-recv  fileId=2986773055  action=data
2026-03-24 01:12:06 [DEBUG] __main__ — [84ad2f70] <- data #17  2900B  seq=14
2026-03-24 01:12:06 [DEBUG] __main__ — [transport:acc2] file-recv  fileId=2978968604  action=data
2026-03-24 01:12:06 [DEBUG] __main__ — [84ad2f70] <- data #18  2900B  seq=17
2026-03-24 01:12:07 [DEBUG] __main__ — [transport:acc1] file-recv  fileId=2980460420  action=data
2026-03-24 01:12:07 [DEBUG] __main__ — [84ad2f70] <- data #19  2900B  seq=16
2026-03-24 01:12:07 [DEBUG] __main__ — [transport:acc2] file-recv  fileId=2986099070  action=data
2026-03-24 01:12:07 [DEBUG] __main__ — [84ad2f70] <- data #20  2900B  seq=19
2026-03-24 01:12:07 [DEBUG] __main__ — [transport:acc1] file-recv  fileId=2983562438  action=data
2026-03-24 01:12:07 [DEBUG] __main__ — [84ad2f70] <- data #21  2888B  seq=18
2026-03-24 01:12:07 [DEBUG] __main__ — [transport:acc2] file-recv  fileId=2994254502  action=data
2026-03-24 01:12:07 [DEBUG] __main__ — [84ad2f70] <- data #22  2900B  seq=21
2026-03-24 01:12:08 [DEBUG] __main__ — [transport:acc1] file-recv  fileId=2993675811  action=data
2026-03-24 01:12:08 [DEBUG] __main__ — [84ad2f70] <- data #23  2900B  seq=20
2026-03-24 01:12:08 [DEBUG] __main__ — [transport:acc2] file-recv  fileId=2987093005  action=data
2026-03-24 01:12:08 [DEBUG] __main__ — [84ad2f70] <- data #24  2900B  seq=23
2026-03-24 01:12:08 [DEBUG] __main__ — [transport:acc1] file-recv  fileId=2977022561  action=data
2026-03-24 01:12:08 [DEBUG] __main__ — [84ad2f70] <- data #25  2900B  seq=22
2026-03-24 01:12:09 [DEBUG] __main__ — [transport:acc2] file-recv  fileId=2985075315  action=data
2026-03-24 01:12:09 [DEBUG] __main__ — [84ad2f70] <- data #26  2900B  seq=25
2026-03-24 01:12:09 [DEBUG] __main__ — [transport:acc1] file-recv  fileId=2991103911  action=data
2026-03-24 01:12:09 [DEBUG] __main__ — [84ad2f70] <- data #27  2900B  seq=24
2026-03-24 01:12:09 [DEBUG] __main__ — [transport:acc2] file-recv  fileId=2990883553  action=data
2026-03-24 01:12:09 [DEBUG] __main__ — [84ad2f70] <- data #28  2900B  seq=27
2026-03-24 01:12:09 [DEBUG] __main__ — [transport:acc1] file-recv  fileId=2996394761  action=data
2026-03-24 01:12:09 [DEBUG] __main__ — [84ad2f70] <- data #29  2900B  seq=26
2026-03-24 01:12:10 [DEBUG] __main__ — [transport:acc2] file-recv  fileId=2992299034  action=data
2026-03-24 01:12:10 [DEBUG] __main__ — [84ad2f70] <- data #30  2900B  seq=29
2026-03-24 01:12:10 [DEBUG] __main__ — [transport:acc1] file-recv  fileId=2993426513  action=data
2026-03-24 01:12:10 [DEBUG] __main__ — [84ad2f70] <- data #31  2900B  seq=28
2026-03-24 01:12:10 [DEBUG] __main__ — [transport:acc2] file-recv  fileId=2980460676  action=data
2026-03-24 01:12:10 [DEBUG] __main__ — [84ad2f70] <- data #32  2900B  seq=31
2026-03-24 01:12:11 [DEBUG] __main__ — [transport:acc1] file-recv  fileId=2992929165  action=data
2026-03-24 01:12:11 [DEBUG] __main__ — [84ad2f70] <- data #33  2900B  seq=30
2026-03-24 01:12:11 [DEBUG] __main__ — [transport:acc2] file-recv  fileId=2992642225  action=data
2026-03-24 01:12:11 [DEBUG] __main__ — [84ad2f70] <- data #34  2900B  seq=33
2026-03-24 01:12:11 [DEBUG] __main__ — [transport:acc1] file-recv  fileId=2987945420  action=data
2026-03-24 01:12:11 [DEBUG] __main__ — [84ad2f70] <- data #35  2900B  seq=32
2026-03-24 01:12:11 [DEBUG] __main__ — [transport:acc2] file-recv  fileId=2996395017  action=data
2026-03-24 01:12:11 [DEBUG] __main__ — [84ad2f70] <- data #36  2900B  seq=35
2026-03-24 01:12:12 [DEBUG] __main__ — [transport:acc1] file-recv  fileId=2985015325  action=data
2026-03-24 01:12:12 [DEBUG] __main__ — [84ad2f70] <- data #37  2900B  seq=34
2026-03-24 01:12:12 [DEBUG] __main__ — [transport:acc2] file-recv  fileId=2986657065  action=data
2026-03-24 01:12:12 [DEBUG] __main__ — [84ad2f70] <- data #38  2900B  seq=37
2026-03-24 01:12:12 [DEBUG] __main__ — [transport:acc1] file-recv  fileId=2991703669  action=data
2026-03-24 01:12:12 [DEBUG] __main__ — [84ad2f70] <- data #39  2900B  seq=36
2026-03-24 01:12:13 [DEBUG] __main__ — [transport:acc2] file-recv  fileId=2982874258  action=data
2026-03-24 01:12:13 [DEBUG] __main__ — [84ad2f70] <- data #40  2900B  seq=39
2026-03-24 01:12:13 [DEBUG] __main__ — [transport:acc1] file-recv  fileId=2979868832  action=data
2026-03-24 01:12:13 [DEBUG] __main__ — [84ad2f70] <- data #41  2900B  seq=38
2026-03-24 01:12:13 [DEBUG] __main__ — [transport:acc2] file-recv  fileId=2992363247  action=data
2026-03-24 01:12:13 [DEBUG] __main__ — [84ad2f70] <- data #42  2900B  seq=41
2026-03-24 01:12:13 [DEBUG] __main__ — [transport:acc1] file-recv  fileId=2986528243  action=data
